Leaked composite object at 0x10b0ef0 (tests/leak_test.c:19, sz=8, NORMAL)

Leaked composite object at 0x10b1ee0 (tests/leak_test.c:19, sz=9, NORMAL)

Leaked composite object at 0x10b1f20 (tests/leak_test.c:19, sz=10, NORMAL)

Leaked composite object at 0x10b1f60 (tests/leak_test.c:19, sz=11, NORMAL)

Leaked composite object at 0x10b0f20 (tests/leak_test.c:19, sz=4, NORMAL)

Leaked composite object at 0x10b0f50 (tests/leak_test.c:19, sz=5, NORMAL)

Leaked composite object at 0x10b0f80 (tests/leak_test.c:19, sz=6, NORMAL)

Leaked composite object at 0x10b0fb0 (tests/leak_test.c:19, sz=7, NORMAL)

Leaked composite object at 0x10b0fe0 (tests/leak_test.c:12, sz=4, NORMAL)

